临港新城+花园式小区+中间楼层+精装修+户型好+诚出,107103563323,天健萃园,https://sh.ke.com/xiaoqu/5010930658749497/,中楼层(共14层)2室2厅|74.71平米|南,196,万,单价26235元/平米,57人关注/2月前发布,浦东,bp0ep200,l2
新挂牌！小两房带阁楼，户型格局好，业主诚心出售！,107103636356,新舒苑,https://sh.ke.com/xiaoqu/5011000011973/,高楼层(共4层)|2006年建|2室1厅|66.26平米|南,146,万,单价22035元/平米,154人关注/1月前发布,浦东,bp0ep200,l2
余店长推荐！新上好房！诚意出售！童叟无欺！2房！,107103628353,欣秋苑,https://sh.ke.com/xiaoqu/5011000009477/,高楼层(共6层)|2008年建|2室1厅|56.75平米|南,158.9,万,单价28000元/平米,93人关注/1月前发布,浦东,bp0ep200,l2
总价低+总价低+3.5米层高+3.5米层高+隔两层+诚心卖,107103566056,凯德新视界(一期),https://sh.ke.com/xiaoqu/5011063202649/,低楼层(共12层)|2015年建|2室2厅|79.94平米|南,178,万,单价22267元/平米,44人关注/2月前发布,浦东,bp0ep200,l2
临港新片区主城区板块，中间楼层，品质精装，业主诚售,107103564165,丽泽荷亭苑,https://sh.ke.com/xiaoqu/5011000012186/,中楼层(共5层)|2009年建|2室1厅|80.6平米|南北,180,万,单价22333元/平米,55人关注/2月前发布,浦东,bp0ep200,l2
临港自贸区，新舒苑66平南北两房，有飘窗，有阁楼！,107103492847,新舒苑,https://sh.ke.com/xiaoqu/5011000011973/,高楼层(共6层)|2006年建|2室1厅|65.99平米|南,146,万,单价22125元/平米,109人关注/2月前发布,浦东,bp0ep200,l2
店长力荐|满五两房朝南中间楼层,107103490843,听潮四村,https://sh.ke.com/xiaoqu/5011000001383/,中楼层(共6层)|1994年建|2室1厅|70.44平米|南,200,万,单价28393元/平米,32人关注/2月前发布,浦东,bp0ep200,l2
业主诚意出售，随时可以签字，价格可谈,107103672226,东都小区,https://sh.ke.com/xiaoqu/5011000011179/,高楼层(共6层)|1982年建|2室1厅|47.3平米|南,190,万,单价40170元/平米,21人关注/1月前发布,浦东,bp0ep200,l2
此房满五年税费少产权清晰采光好视野开阔,107103739823,新德路365弄小区,https://sh.ke.com/xiaoqu/5011000008485/,高楼层(共5层)|1986年建|2室1厅|53.43平米|南,195,万,单价36497元/平米,48人关注/18天前发布,浦东,bp0ep200,l2
临港新片区精装两室附带阁楼（阁楼已装修）置换诚售,107103394082,新舒苑,https://sh.ke.com/xiaoqu/5011000011973/,高楼层(共5层)|2007年建|2室1厅|81.62平米|南北,171,万,单价20951元/平米,135人关注/3月前发布,浦东,bp0ep200,l2
毫华装修奢华享受，双南格局全明户型，拎包入住,107103384677,听潮二村,https://sh.ke.com/xiaoqu/5011000011748/,中楼层(共6层)|1989年建|2室1厅|57.2平米|南,175,万,单价30595元/平米,80人关注/3月前发布,浦东,bp0ep200,l2
近万达广场，户型周正，舒适两房,107103561719,云帆佳苑,https://sh.ke.com/xiaoqu/5011000003823/,高楼层(共6层)|2007年建|2室2厅|83.1平米|南,170,万,单价20458元/平米,40人关注/2月前发布,浦东,bp0ep200,l2
自贸区小两室宝龙商场和万达旁边价格实惠,107103504347,云帆名苑,https://sh.ke.com/xiaoqu/5011000009802/,中楼层(共6层)|2007年建|2室1厅|59.47平米|南,145,万,单价24383元/平米,72人关注/2月前发布,浦东,bp0ep200,l2
新上两房南北通，自住装修，满五年0个税，看房提前约,107103613918,丹桂佳苑,https://sh.ke.com/xiaoqu/5011000003127/,中楼层(共6层)|2008年建|2室2厅|81.32平米|南,193,万,单价23734元/平米,144人关注/1月前发布,浦东,bp0ep200,l2
此房满五唯1，税少，通风采光好，总价低,107103622354,听潮一村,https://sh.ke.com/xiaoqu/5011000002144/,高楼层(共6层)|1989年建|2室1厅|51.85平米|南北,140,万,单价27001元/平米,34人关注/1月前发布,浦东,bp0ep200,l2
自贸区精装大两房，阁楼储物空间大，诚意出售,107103622540,祥安竹苑,https://sh.ke.com/xiaoqu/5011000000002/,高楼层(共6层)|2008年建|2室2厅|91.78平米|南,180,万,单价19613元/平米,7人关注/1月前发布,浦东,bp0ep200,l2
丽泽兰馨苑2室2厅南,107103421370,丽泽兰馨苑,https://sh.ke.com/xiaoqu/5011000000808/,高楼层(共6层)|2008年建|2室2厅|104.26平米|南,188,万,单价18032元/平米,87人关注/3月前发布,浦东,bp0ep200,l2
一梯两户南北通，置换诚心卖，税费少，好看房；,107103528649,丹桂佳苑,https://sh.ke.com/xiaoqu/5011000003127/,中楼层(共6层)|2009年建|2室2厅|81.23平米|南,199,万,单价24499元/平米,62人关注/2月前发布,浦东,bp0ep200,l2
税费少，总价低，15年次新商品房小区。,107103776912,凯德新视界(一期),https://sh.ke.com/xiaoqu/5011063202649/,低楼层(共12层)|2015年建|2室1厅|79.91平米|南,200,万,单价25029元/平米,12人关注/11天前发布,浦东,bp0ep200,l2
《链家精选》临港新片区，钻石楼层，全天有采光！,107103617453,云锦丽苑,https://sh.ke.com/xiaoqu/5011000001897/,中楼层(共6层)|2006年建|2室2厅|82.74平米|南,178,万,单价21514元/平米,22人关注/1月前发布,浦东,bp0ep200,l2
临港新片区，采光好，位置佳，楼层好，近宝龙万达,107103538498,云帆佳苑,https://sh.ke.com/xiaoqu/5011000003823/,中楼层(共6层)|2007年建|2室2厅|84.33平米|南北,193,万,单价22887元/平米,20人关注/2月前发布,浦东,bp0ep200,l2
