顶楼带大露台南北通透精装复式看房方便,104104981447,同鑫花园,https://wh.ke.com/xiaoqu/3711056517310/,高楼层(共6层)|2007年建|6室2厅|111.25平米|南北,195,万,单价17529元/平米,78人关注/7月前发布,江岸,bp0ep200,l6
坡顶复式7室4厅双飘窗双阳台南北通透满五唯一诚心售,104105696806,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共6层)|2011年建|7室4厅|127.73平米|南北,249,万,单价19495元/平米,7人关注/3月前发布,江岸,bp200ep250,l6
福怡苑9室2厅南北,104104660298,福怡苑,https://wh.ke.com/xiaoqu/3711057596171/,低楼层(共7层)|1999年建|9室2厅|116.1平米|南北,220,万,单价18950元/平米,2人关注/8月前发布,江岸,bp200ep250,l6
小高层顶楼复式，单层面积126，老证，看房方便。,104105786778,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共10层)|2011年建|7室2厅|126.76平米|南北,225,万,单价17751元/平米,8人关注/2月前发布,江岸,bp200ep250,l6
怡和苑南区，地铁边改善4+5复式，带50平米露台,104104855722,怡和苑南区,https://wh.ke.com/xiaoqu/3711056506378/,中楼层(共5层)|2004年建|6室2厅|179.07平米|南,300,万,单价16754元/平米,18人关注/7月前发布,江岸,bp250ep300,l6
怡和苑南区，复式楼，老证，有钥匙，看房方便,104104257212,怡和苑南区,https://wh.ke.com/xiaoqu/3711056506378/,高楼层(共5层)|2004年建|6室3厅|196.63平米|南北,260,万,单价13223元/平米,36人关注/10月前发布,江岸,bp250ep300,l6
此房南北朝向，满二年，采光充足，居家装修，保养好,104104189470,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共7层)8室2厅|223.08平米|南北,260,万,单价11656元/平米,9人关注/10月前发布,江岸,bp250ep300,l6
百合苑步梯复式大四房带大露台满足三代同堂,104105883094,百合苑,https://wh.ke.com/xiaoqu/3711056668080/,高楼层(共6层)|2004年建|6室2厅|218.19平米|南北,300,万,单价13750元/平米,1人关注/1月前发布,江岸,bp250ep300,l6
精装修顶楼复式采光充足视野开阔,104105752156,青青美庐东区,https://wh.ke.com/xiaoqu/3711056748315/,高楼层(共7层)|2004年建|6室2厅|186.6平米|南北,298,万,单价15970元/平米,1人关注/2月前发布,江岸,bp250ep300,l6
正规毛坯复式楼带露台前后无遮挡老证业主诚售,104105993041,世纪家园,https://wh.ke.com/xiaoqu/3711057385543/,高楼层(共6层)|2005年建|6室3厅|216.01平米|南北,280,万,单价12963元/平米,0人关注/1月前发布,江岸,bp250ep300,l6
两层大复式无暗房单价低看房有钥匙,104104364020,世纪家园,https://wh.ke.com/xiaoqu/3711057385543/,高楼层(共6层)|2005年建|6室2厅|229.86平米|南北,268,万,单价11660元/平米,36人关注/9月前发布,江岸,bp250ep300,l6
户型是少有的顶楼复式楼，小高层。户型方正,104104292016,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共6层)|2011年建|6室3厅|229.83平米|南,285,万,单价12401元/平米,0人关注/10月前发布,江岸,bp250ep300,l6
近地铁，近公交，交通便利，购物方便,104103016601,德盛大厦,https://wh.ke.com/xiaoqu/3711056990146/,高楼层(共25层)|2004年建|6室3厅|212.34平米|南,267.8,万,单价12612元/平米,4人关注/1年前发布,江岸,bp250ep300,l6
老证，顶楼复式，公摊小，价格低。,104100747148,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共6层)|2011年建|6室2厅|252.54平米|南,278,万,单价11009元/平米,40人关注/3年前发布,江岸,bp250ep300,l6
正二环电梯房自家带大露台精装修阳光好,104105737536,华电大厦,https://wh.ke.com/xiaoqu/3711100220702/,低楼层(共15层)|1999年建|7室1厅|194.88平米|南东,299,万,单价15343元/平米,1人关注/2月前发布,江岸,bp250ep300,l6
后湖金桥永旺青青美庐，采光好，正规复式,104104615525,青青美庐东区,https://wh.ke.com/xiaoqu/3711056748315/,高楼层(共7层)|2004年建|6室3厅|162.45平米|南北,285,万,单价17544元/平米,3人关注/8月前发布,江岸,bp250ep300,l6
花园洋房复式带私家平台，2019年花60万装修，老证。,104105870371,幸福人家北苑,https://wh.ke.com/xiaoqu/3711056761427/,高楼层(共4层)|2006年建|6室2厅|197.56平米|南北,388,万,单价19640元/平米,13人关注/1月前发布,江岸,bp300ep400,l6
怡和苑南区，地铁边改善4+5复式，带50平米露台,104104855722,怡和苑南区,https://wh.ke.com/xiaoqu/3711056506378/,中楼层(共5层)|2004年建|6室2厅|179.07平米|南,300,万,单价16754元/平米,18人关注/7月前发布,江岸,bp300ep400,l6
满五唯一，公摊小，复式楼层多个卧室，还包含大露台,104104721819,宏宇绿色新都,https://wh.ke.com/xiaoqu/3711057383226/,高楼层(共8层)6室2厅|244.77平米|东南北,328,万,单价13401元/平米,4人关注/8月前发布,江岸,bp300ep400,l6
声直大厦老证江汉路商圈二医院旁业主诚心出售,104103953557,声直大厦,https://wh.ke.com/xiaoqu/378123117218933/,高楼层(共25层)7室0厅|194平米|东,335,万,单价17269元/平米,2人关注/11月前发布,江岸,bp300ep400,l6
百合苑步梯复式大四房带大露台满足三代同堂,104105883094,百合苑,https://wh.ke.com/xiaoqu/3711056668080/,高楼层(共6层)|2004年建|6室2厅|218.19平米|南北,300,万,单价13750元/平米,1人关注/1月前发布,江岸,bp300ep400,l6
青青美庐1-2楼叠拼复式带花园,104105762778,青青美庐西区,https://wh.ke.com/xiaoqu/3711056753385/,低楼层(共7层)6室3厅|207.11平米|南北,330,万,单价15934元/平米,3人关注/2月前发布,江岸,bp300ep400,l6
后湖生态花园荷花苑8室3厅东南,104105826076,后湖生态花园荷花苑,https://wh.ke.com/xiaoqu/3711056688760/,高楼层(共8层)|2003年建|8室3厅|270平米|东南,364,万,单价13482元/平米,0人关注/2月前发布,江岸,bp300ep400,l6
东方花都精装三层复式楼，实用面积大，拎包即住,104105548203,新地东方花都B区,https://wh.ke.com/xiaoqu/3711056473733/,高楼层(共6层)|2006年建|7室2厅|200.17平米|南北,330,万,单价16486元/平米,13人关注/3月前发布,江岸,bp300ep400,l6
